id,cur_pos,cur_vel,error,goal_pos,target
69,-8.54858500431988E-07,2.09242675576368E-06,8.54858500431988E-07,0,6.4561592161283E-05
70,-8.33815221312761E-07,2.11417717427118E-06,8.33815221312761E-07,0,6.223975823616E-05
71,-8.1255415818049E-07,2.13576532220265E-06,8.1255415818049E-07,0,5.98977712762405E-05
72,-7.91111826714541E-07,2.16460317885452E-06,7.91111826714541E-07,0,5.74651643603374E-05
73,-7.69406966583119E-07,2.17739376128518E-06,7.69406966583119E-07,0,5.51667717729742E-05
74,-7.47532810763119E-07,2.19572486292422E-06,7.47532810763119E-07,0,0.000052796
75,-7.25475155505251E-07,2.21387730219412E-06,7.25475155505251E-07,0,5.04087536157272E-05
76,-7.03270672808287E-07,2.23926438748296E-06,7.03270672808287E-07,0,4.79344373083279E-05
77,-6.80838246225335E-07,2.24859041811922E-06,6.80838246225335E-07,0,4.559792703418E-05
78,-6.58271240183694E-07,2.26344449560356E-06,6.58271240183694E-07,0,4.31926874711053E-05
79,-6.35555567285451E-07,2.27810874999188E-06,6.35555567285451E-07,0,4.07744819241884E-05
80,-6.1272800344625E-07,0.0000023,6.1272800344625E-07,0,3.82728428505175E-05
81,-5.89707526366112E-07,2.30581717744288E-06,5.89707526366112E-07,0,3.59125928106607E-05
82,-5.66587575967503E-07,2.31715735230962E-06,5.66587575967503E-07,0,3.34871951501725E-05
83,-5.43354132354068E-07,2.32830172797918E-06,5.43354132354068E-07,0,3.10524110425092E-05
84,-0.00000052,2.3466661793433E-06,0.00000052,0,2.85377603326253E-05
85,-4.96576268105287E-07,0.000002349,4.96576268105287E-07,0,2.61680698443456E-05
86,-0.000000473,2.35676773971171E-06,0.000000473,0,2.37367697941693E-05
87,-4.49434208960042E-07,2.36438122092138E-06,4.49434208960042E-07,0,2.12996228654561E-05
88,-4.25782729074342E-07,2.37921521439178E-06,4.25782729074342E-07,0,1.87861579625803E-05
89,-0.000000402,0.000002378,0.000000402,0,1.64211297004613E-05
90,-3.78206165052575E-07,2.38226232590394E-06,3.78206165052575E-07,0,0.000013998
91,-3.5436047784998E-07,2.3863543176423E-06,3.5436047784998E-07,0,1.15725321769844E-05
92,-3.30508619583725E-07,2.39767232511037E-06,3.30508619583725E-07,0,9.0741924196891E-06
93,-3.06569543084834E-07,2.39292584591537E-06,3.06569543084834E-07,0,6.72774014276456E-06
94,-2.82636609227893E-07,2.39370899823024E-06,2.82636609227893E-07,0,4.32661302340875E-06
95,-2.58695691535138E-07,2.39430900235712E-06,2.58695691535138E-07,0,1.92653493158446E-06
96,-2.34783468222588E-07,2.40214547228912E-06,2.34783468222588E-07,0,-0.000000543
97,-2.10818793533463E-07,2.39392918291774E-06,2.10818793533463E-07,0,-2.85732681959416E-06
98,-1.86894898668299E-07,2.3912554287038E-06,1.86894898668299E-07,0,-0.000005223
99,-0.000000163,2.38841267887583E-06,0.000000163,0,-7.58424389957213E-06
100,-1.39163223167316E-07,2.3928217295781E-06,1.39163223167316E-07,0,-1.00116839263364E-05
101,-1.15310711201744E-07,2.38119476077022E-06,1.15310711201744E-07,0,-1.22806103952655E-05
102,-9.15330762296662E-08,2.37512832183178E-06,9.15330762296662E-08,0,-1.45975780796448E-05
103,-6.78159910449949E-08,2.36891254488981E-06,6.78159910449949E-08,0,-1.6906803246286E-05
104,-4.41960912311856E-08,0.00000237,4.41960912311856E-08,0,-1.92783233821103E-05
